City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
305,yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
306,acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,mubende,UG,70.65,overcast clouds,0.5606,31.39,Nakayima Hotel
310,manokwari,ID,79.25,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
311,coromandel,BR,79.32,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
313,samarai,PG,80.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
319,the valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
322,robertsport,LR,82.54,clear sky,6.7533,-11.3686,Kwepunha Retreat
325,hosakote,IN,71.53,clear sky,14.2769,77.1699,AVN lodge
326,djougou,BJ,89.71,clear sky,9.7085,1.666,Hotel cathas
334,kaputa,ZM,70.75,light rain,-8.4689,29.6619,Chelelwa Charlets
337,kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
342,oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
343,mmabatho,ZA,71.56,clear sky,-25.85,25.6333,Mahikeng Guest Apartments
345,codrington,AU,70.93,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
347,geraldton,AU,73.81,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
359,wanning,CN,71.15,broken clouds,18.8003,110.3967,Paradise Hotel
360,quatre cocos,MU,81.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
365,buala,SB,80.71,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
366,hue,VN,71.71,mist,16.4667,107.6,Saigon Morin Hotel
370,san andres,CO,86.02,few clouds,12.5847,-81.7006,Hotel Arena Blanca
376,montepuez,MZ,70.95,light rain,-13.1256,38.9997,PembaAparthotel
377,lorengau,PG,81.63,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
384,riberalta,BO,83.61,broken clouds,-10.9833,-66.1,Hotel Colonial
385,kismayo,SO,78.89,broken clouds,-0.3582,42.5454,Agan-Hotel
388,cap malheureux,MU,81.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
399,mahebourg,MU,81.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
400,caravelas,BR,84.2,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
401,catamarca,AR,80.78,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
408,illapel,CL,81.3,clear sky,-31.6308,-71.1653,Hotel Londres
409,broken hill,AU,76.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
415,souillac,MU,81.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
416,ambilobe,MG,74.01,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
420,ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
425,dong hoi,VN,72.68,overcast clouds,17.4833,106.6,Nam Long Hotel
427,kiunga,PG,73.42,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
431,agadir,MA,73.85,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
433,pilar,BR,84.13,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
436,namatanai,PG,79.79,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
437,tsabong,BW,79.56,overcast clouds,-26.0217,22.401,Springbok Motel
441,meulaboh,ID,76.69,broken clouds,4.1363,96.1285,Kost Pria
443,la asuncion,VE,79.54,clear sky,11.0333,-63.8628,Colinas de Matasiete
446,kuching,MY,79.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
449,karratha,AU,83.93,light rain,-20.7377,116.8463,ibis Styles Karratha
461,kaduqli,SD,79.36,overcast clouds,11.0167,29.7167,فندق الله جابو
469,vanimo,PG,78.55,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
476,tabligbo,TG,85.82,scattered clouds,6.5833,1.5,HÔTEL LA TOLÉRANCE
477,sinnamary,GF,78.67,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
479,sorong,ID,79.75,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
482,saint-georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
483,maracacume,BR,80.24,broken clouds,-2.0428,-45.9592,Hotel Ramos
484,plettenberg bay,ZA,79.5,scattered clouds,-34.0527,23.3716,Thanda Vista B&B
485,wau,SS,83.41,broken clouds,7.7029,27.9953,Universal Gab Hotel
486,talara,PE,83.16,clear sky,-4.5772,-81.2719,Hostal Oro Negro
488,ouagadougou,BF,87.93,clear sky,12.3642,-1.5383,Hotel de la Liberte
492,dhidhdhoo,MV,81.86,scattered clouds,6.8833,73.1,Dhidhoo beach
497,candolim,IN,75.2,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
505,sao gabriel da cachoeira,BR,85.8,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
508,palu,ID,76.41,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
510,sitio novo do tocantins,BR,87.73,broken clouds,-5.5183,-47.4611,Imperial Hotel
514,morant bay,JM,83.82,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
517,calama,CL,70.29,few clouds,-22.4667,-68.9333,Diego De Almagro Calama
518,buin,CL,86.05,clear sky,-33.7333,-70.75,Paihuen
520,kupang,ID,77.58,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
521,bandarbeyla,SO,76.23,few clouds,9.4942,50.8122,JABIR HOTEL
523,ampanihy,MG,74.89,broken clouds,-24.7,44.75,Angora Hotel
525,makakilo city,US,72.28,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
527,tabuk,PH,70.48,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
537,chongwe,ZM,72.18,few clouds,-15.3292,28.682,Grakas Lodge
538,bapatla,IN,74.97,few clouds,15.9,80.4667,Kumar Hotel
542,mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
546,necochea,AR,77.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
549,pontalina,BR,88.39,few clouds,-17.525,-49.4472,Hotel Entre Rios
551,srisailam,IN,70.95,scattered clouds,16.0833,78.8667,Vasavi Satram
554,san cristobal,VE,80.78,broken clouds,7.7669,-72.225,Posada Villaven C.A.
555,yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Villa Mar Colina
556,antofagasta,CL,71.22,broken clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
558,portobelo,PA,89.85,scattered clouds,9.55,-79.65,Scuba Portobelo
559,el alto,PE,80.26,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
561,marang,MY,75.11,clear sky,5.2056,103.2059,DBarakah Homestay
562,catuday,PH,77.56,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
563,salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
567,traiguen,CL,75.54,few clouds,-38.25,-72.6833,Hospedaje Sonnia
568,riachao das neves,BR,87.55,broken clouds,-11.7461,-44.91,Casa Costa
572,benjamin constant,BR,78.93,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
573,wajir,KE,89.92,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
574,hobyo,SO,77.38,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
580,lingao,CN,70.14,few clouds,19.9103,109.6859,Lingao Ditai Inn
581,nishihara,JP,70.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
585,mackay,AU,73.69,scattered clouds,-21.15,149.2,International Lodge Motel
593,inhambane,MZ,77.0,light rain,-23.865,35.3833,Oceano
595,salta,AR,88.09,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
596,manzanillo,CU,85.41,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
598,kawalu,ID,73.76,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
601,afua,BR,83.98,scattered clouds,-0.1567,-50.3867,Hotel Dias
604,port hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
616,looc,PH,76.64,broken clouds,12.2605,121.9926,Cummings Highlands
617,lucea,JM,82.26,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
618,lamu,KE,80.82,few clouds,-2.2717,40.902,Lamu House
627,bata,GQ,84.06,scattered clouds,1.8639,9.7658,Hotel Elik Melen
636,acari,PE,80.22,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
641,tonj,SS,85.57,scattered clouds,7.2737,28.6822,Lakan Hotel
642,corn island,NI,80.44,few clouds,12.1694,-83.0418,Big Fish Guest House
645,takoradi,GH,82.63,few clouds,4.8845,-1.7554,Raybow International Hotel
650,antalaha,MG,76.21,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
653,buchanan,LR,87.76,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
655,potchefstroom,ZA,70.47,clear sky,-26.7167,27.1,Melrose Place Guestrooms
656,swellendam,ZA,79.18,few clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
657,bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
660,phalaborwa,ZA,78.08,scattered clouds,-23.943,31.1411,Bothabelo Bed and Breakfast
663,kulhudhuffushi,MV,82.04,broken clouds,6.6221,73.07,Haajy Guest House 1
673,boca do acre,BR,84.02,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
676,mettur,IN,76.86,few clouds,11.8,77.8,Hotel Akash Residency
680,deniliquin,AU,74.88,overcast clouds,-35.5333,144.9667,Riviana Motel
681,la palma,US,70.16,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
684,isangel,VU,79.9,scattered clouds,-19.55,169.2667,Tanna Lodge
